olécrâne,174959,75822,0.49991125473432463
mangeant,165056,72000,0.5168969498232728
enchantant,134248,61356,0.5032936651749004
bêlant,104600,52393,0.5066416324665263
méduser,171161,74411,0.5099654016996901
pongo,183545,78970,0.5028061359619143
phallus,180379,77773,0.5033874355355572
crânes,119193,57272,0.5170752086606396
piaffait,180717,77966,0.5096069462163051
dévorer,132100,60867,0.5295833029438919
meuh,167251,72753,0.5056978407872855
brachycéphale,102616,51710,0.5170996211714687
hérissa,153028,67506,0.5267786628951507
tigrée,213990,88370,0.5074214002433474
reniflai,195364,82450,0.5079909460242991
griffait,149056,65926,0.5142177675080182
araignée,93509,48528,0.50914443805228
hamster,150909,66554,0.5097082728931032
moustachues,170093,73992,0.5102698905512801
marmottes,165861,72269,0.5415252503829764
jacasse,159334,69651,0.516863112422377
esquif,137763,62122,0.5120169630690131
manguier,165095,72014,0.5125784623435361
grognant,149434,66036,0.5208771162684678
peluchée,179207,77399,0.5137764882358888
dingos,122121,58402,0.5238124118579863
zébré,222936,91541,0.5149185268973979
cannibales,105977,52924,0.5170533396574739
congénère,114469,55882,0.5163963020148677
braconné,102631,51713,0.5318034446383036
allaité,89949,47194,0.5175458092922351
épouvantail,226329,92448,0.5178197277579709
pelucheuse,179204,77398,0.5183977273382123
carapaces,106462,53111,0.5189972026285486
ragrafant,190441,81372,0.5195815990007048
ocelots,174522,75649,0.526501909742346
cavalé,107521,53546,0.5354036475186204
adorateur,87899,46627,0.5212874138521121
statues,208638,86432,0.5218513439134558
vigogne,220883,90753,0.5224337965237181
recracha,192954,81999,0.534482819767579
cafarde,104978,52542,0.5345646792977875
bananier,98377,50107,0.5241541783743657
préhistorique,186977,80086,0.5247158128323155
étranglai,227276,92691,0.5398167635612063
tapir,212565,87811,0.5898725391089823
fouines,143779,64036,0.5264077549954141
cauris,107396,53520,0.5269850312551074
clown,111352,54982,0.5275659117270991
ronronné,198710,83209,0.5466416811169749
fourmi,143909,64073,0.5287083099491033
félinement,145826,64660,0.5293060287563478
mangeaille,165052,72004,0.5299233036778155
chevauchant,109119,54133,0.5531057006235928
encornet,134460,61414,0.5310811803976598
bébêtes,104340,52300,0.5316583293586673
hibou,151552,66809,0.5322673968190313
dégingandé,127603,59864,0.5328449257467427
apprivoisé,93119,48428,0.573591984944699
cacatoès,104784,52467,0.5339973359480413
dodo,123509,58769,0.5605412182716386
ganté,146446,64895,0.5566000863051498
empapaouter,133458,61182,0.5358165529016286
ourson,176222,76306,0.5699108615958922
nasique,172062,74758,0.5368907617607656
aventurai,97017,49663,0.5405690985807496
ébouser,223207,91643,0.5380300854634656
palmipède,176829,76560,0.5495787115728077
fesse,141423,63293,0.5391795080329878
éviscère,227787,92796,0.5397516734195901
schnouffe,204265,84819,0.5403252551150004
brouteur,103611,52037,0.5444910392073853
titubai,214318,88484,0.5416188484330022
foudroyer,143672,64011,0.5421802060590221
langouste,161301,70497,0.5427439540104888
roupillons,199126,83358,0.5439803634767886
aptère,93433,48488,0.5439315155867912
glougloutant,147699,65385,0.5444988770504041
animalerie,91535,47755,0.5450967878550049
affalai,88189,46698,0.57880396376833
poussettes,184578,79376,0.5462489985354828
nain,171866,74681,0.5468157070812858
plumée,182637,78612,0.5474190942077466
ornithoptère,175860,76148,0.5480245775688685
corbeau,116746,56471,0.5486526746861305
patapouf,178535,77179,0.5659614003964323
baluchonneur,98319,50083,0.5498926642549339
pépère,188739,80696,0.5505074661303822
bouse,102402,51625,0.5510972972881103
carapaté,106467,53112,0.5516740204283032
agripper,89061,46911,0.5741104553765795
barattage,98628,50193,0.552804095889888
chariot,108535,53924,0.5534095870465578
garnement,146662,64970,0.5539760085550721
dentier,121028,58046,0.5545395063139453
poulpe,184337,79317,0.5551316511828241
cochonnaille,111559,55081,0.559231372041095
agrafant,88966,46888,0.5563247755223517
souriceaux,207628,86010,0.5568864302397568
dents,121038,58036,0.5708522891289415
déplumée,129737,60322,0.5618824132763203
hamadryade,150891,66543,0.558642293588405
maharadjah,164423,71741,0.573518461207826
félinité,145828,64661,0.5598273996593667
empanner,133456,61181,0.5603876468095195
oreilles,175649,76068,0.5609516797443015
balinais,98181,50027,0.5615133165383972
