relieur,194290,82255,0.49991457121483973
apprêt,93321,48458,0.5182182174469567
rococo,198411,83113,0.5010340309654997
sculptes,204525,84931,0.5118941891015872
salpêtre,203153,84394,0.5022168447568378
cuillerée,119543,57397,0.5047116727254496
décorai,126439,59606,0.5412206271198035
rebuts,192276,81871,0.5038958355111547
paveurs,178872,77305,0.504452166861503
vitrifiée,221413,90945,0.519750010473196
parfuma,177757,76937,0.5149584146770076
tôle,218686,89938,0.5062309615299447
fouteries,144063,64110,0.5067884806460319
incisé,155002,68187,0.5073372278230812
tonnelets,214644,88592,0.5078866550858157
parqueté,177985,77009,0.522115975620561
colifichets,111906,55203,0.509036122850605
colophane,112195,55301,0.5096119858332407
passoire,178467,77149,0.5101628197623095
fabriquai,140087,62833,0.5595204843375542
trempera,216642,89186,0.5247996605866186
vitraux,221398,90939,0.5119027491828992
beurrage,99773,50638,0.5124620417870368
tirelires,214170,88444,0.5130216895346225
jute,160447,70044,0.5135784781317644
serviettes,205290,85210,0.5141384817036603
fondue,143239,63881,0.5147708853838127
clayettes,111039,54864,0.5153210647336969
crédence,119275,57298,0.5158751733404698
luminaires,163534,71367,0.5257969287061142
duvetée,124664,59173,0.5170092681572754
teints,213127,88024,0.5175572939388925
colorées,112238,55315,0.5181021056930228
coquillards,116715,56454,0.5193795198596415
rembourrage,194596,82314,0.5214140032591019
paraffinée,177387,76816,0.5198231801152151
pâtissière,188420,80561,0.538290511210993
porcelets,183637,79021,0.5209591563933823
peinte,179095,77365,0.5223832048037953
taxidermie,212993,87961,0.5220629740206313
merceries,167022,72666,0.5380447128775092
peinturlurer,179107,77368,0.5245908598738955
plomberies,182510,78573,0.5237411167150068
thermocollants,213758,88238,0.5243012695864341
antiquaire,92299,48181,0.5248487317171835
brassant,102892,51796,0.525394974900089
rembourrer,194602,82315,0.528236846863245
charcuteries,108475,53911,0.5265046685034397
ornementation,175843,76143,0.5270550535601148
peaux,179004,77334,0.5276028987226227
gravure,148893,65871,0.5281641408527936
hanap,150913,66556,0.5287189247175011
sculpturaux,204534,84933,0.5296680762345338
vannerie,219568,90290,0.5443572514140007
liqueurs,162534,70990,0.5303863698744082
tailleurs,212178,87664,0.5309505830554019
tricoteuse,216855,89274,0.5314927293223833
chapelure,108402,53880,0.532044213938471
pucelages,187886,80354,0.5325922707111219
salaisons,202999,84331,0.5331393235792069
caoutchoucs,106107,52976,0.5337102949494824
carrelée,106825,53263,0.5463721215147848
khôl,160609,70158,0.5348688087516715
picorée,180847,78013,0.5449558450592507
précuit,186761,80018,0.5410073757869611
chicorée,109291,54197,0.5378389087475686
patiné,178684,77227,0.5370818097685862
poinçonnée,182961,78736,0.5418706843726055
crayonneurs,118425,57038,0.5473384388349103
biscuiterie,100348,50912,0.5388300095955965
lyophilisée,163762,71462,0.5393783778147189
sauteries,203813,84673,0.5399205447990545
ornementales,175842,76142,0.5428563770616216
albâtre,89685,47104,0.5588636914858578
autocuiseur,96566,49478,0.5416912816876412
pastille,178509,77164,0.5422764414535065
lustrale,163594,71399,0.5428171277756267
empailleurs,133420,61172,0.5433592304121669
aquarellistes,93458,48499,0.5439065161136761
polisseurs,183160,78812,0.5467203377692957
collections,112015,55233,0.5449940605029356
friteuse,144867,64370,0.5455458546971041
martelage,166028,72326,0.5460884983121375
papetiers,177212,76736,0.5466525032085854
bronzes,103482,51990,0.6237651893136431
encollée,134412,61399,0.5513167866424146
éventails,227689,92773,0.5483036136899374
lyophilisant,163758,71461,0.5488489751711557
assiettes,94902,49034,0.62645792579403
gonzes,148045,65532,0.5500316899236852
beurrer,99781,50637,0.5505779442269205
morcelait,169420,73767,0.6306538245814168
ouvragée,176340,76347,0.5599962322280277
feldspath,141146,63197,0.5522705048634804
aquatinte,93463,48503,0.552826805922274
étirage,227092,92656,0.5533753390764728
saphirs,203467,84516,0.5539198892686386
lithographe,162701,71046,0.5544696502658853
cuit,119648,57400,0.5594871982415234
beigeasses,99483,50506,0.5556063729986911
décorateurs,126445,59607,0.5700758322506558
artisanaux,94474,48888,0.566351293191081
carton,106911,53301,0.557318744258756
cruchons,119083,57231,0.5578638562540615
jaspe,159595,69756,0.5584041383912224
marbrures,165529,72153,0.5589796908147097
empanachée,133450,61179,0.5595336990354352
ferronnière,141375,63276,0.5715137194505527
parcheminées,177587,76890,0.5606215416863477
horlogers,152032,67041,0.5625776428012242
crépinettes,119365,57330,0.5742450039237779
pommelées,183376,78920,0.5622781548000029
selleries,204779,85026,0.5657091348245666
métal,171566,74558,0.5634376836688122
fagotiers,140269,62901,0.5639813037877629
brasseries,102901,51799,0.564538351922059
tranchoirs,215741,88942,0.5651484975702638
tissage,214236,88462,0.5657057625630231
braisée,102705,51742,0.566352080157222
pingrerie,181204,78155,0.5669218042072666
taxidermiste,212994,87962,0.5674626937443298
courtepointes,117842,56865,0.5711980032158306
rempailler,194832,82358,0.5704192915171449
ciselé,110594,54712,0.5691491665780322
filigranés,141920,63460,0.5697121118204725
ornementée,175848,76144,0.570289642488349
cacaotier,104776,52462,0.5709042861470838
parfumeurs,177767,76939,0.5715153399880538
modeleur,168569,73443,0.5720626552239323
forgeage,143386,63930,0.5726398701184859
colorants,112207,55305,0.5731987562331119
gouache,148107,65561,0.5752042129124609
lustrée,163607,71403,0.5982473895183327
bouquetier,102167,51541,0.5748593167572813
maroufles,165901,72287,0.5754311723135478
triperies,217088,89350,0.5759746714053736
nacrée,171819,74670,0.5766584418784965
cotonnade,117289,56684,0.5803107779395464
emboîtage,132968,61082,0.5911000988029108
