bougre,101964,51467,0.49987535447952525
nictitant,172607,74970,0.4684346122881201
râlement,199611,83504,0.46906004900668374
mangeai,165050,72000,0.4853285807254397
tracassier,215422,88855,0.470310960913075
bedonnants,99471,50498,0.4709073896426066
fripouilles,144765,64337,0.4826040755719414
pétomanes,188977,80794,0.4720270901713932
barbouilleur,98736,50231,0.47327668752877505
balafrons,98022,49986,0.4731919713912239
soûlons,208070,86154,0.4737903410794506
manchotes,164967,71968,0.5065872170089959
gloutonnerie,147726,65393,0.47495975543760577
rigolards,198010,82969,0.4948209657004565
marmots,165852,72268,0.5287972169309548
imbécilement,153684,67735,0.4767980537717806
ragoûtants,190438,81370,0.4859298096434177
ronronner,198706,83209,0.4864482978371768
voyoutes,222088,91140,0.4785568682097026
vieillot,220808,90732,0.4997401402108811
impertinent,154086,67883,0.47974983784733427
taquiner,212632,87829,0.48040706090471164
effaroucher,132345,60927,0.5195507870808707
oisillons,174904,75787,0.4946340606370301
matouser,166440,72474,0.48214885287897
goinfre,147891,65471,0.5455234817285355
infatigables,156037,68598,0.4833123372674453
fouisseur,143794,64040,0.5353194986926914
dévorais,132087,60867,0.48445886508152775
prognathe,185602,79665,0.4850207691766334
pâlichons,188350,80545,0.485590128348218
rêveur,202415,84147,0.486344827212131
gouailleur,148113,65565,0.48794867907683487
grouiner,149613,66086,0.4875574048178683
gazouillants,146946,65073,0.48822688483505405
chiasseux,109240,54177,0.48878850945066193
clébards,111391,54998,0.4893840361253712
fouetter,143692,64015,0.4899625856484141
grogner,149447,66036,0.49058047095547025
obséquieux,174287,75594,0.49117346635104986
maigrelettes,164452,71754,0.49174363596542126
maigrit,164479,71757,0.5246953312200433
chienchiens,109309,54207,0.49289375505672206
stéréotypé,209144,86666,0.4934530865290646
simplette,205870,85433,0.4940166804392354
glapisseurs,147552,65325,0.49458276054262107
geignard,146984,65088,0.49515636581915995
mangeaille,165052,72004,0.49580051793624796
débondant,125076,59288,0.49640608874318193
rigolo,198031,82973,0.49696938791202333
râblé,199596,83500,0.4975452151988964
lémure,164004,71549,0.498148493037901
chatouilleux,108774,54011,0.4987264833734636
méchants,170942,74331,0.49933216976031103
songeurs,206880,85832,0.5104048312986968
rendormir,195173,82416,0.5164378106011906
frousses,145060,64432,0.5222281437733891
batifolages,99176,50408,0.50171090958127
chevreuil,109166,54152,0.5023063729831941
ridiculiseras,197939,82941,0.5400136190301168
incompréhensif,155170,68244,0.5034364428819877
ovipares,176441,76378,0.5040059922035984
fatigant,140797,63086,0.5362600437624395
filou,141978,63484,0.5051876039857899
poileux,182867,78713,0.5057577022928935
grouillant,149591,66081,0.5063883839266392
couiner,117463,56739,0.5226077027636831
carnassier,106727,53220,0.5674413362479939
bonhomie,101306,51260,0.5081161490379209
égocentrismes,224633,91960,0.5086825119510526
imberbes,153637,67721,0.5092613552141739
plaintif,181912,78391,0.5098376129593061
apprivoisais,93108,48428,0.5676942168165504
canidés,105932,52903,0.511017034867781
marmonner,165841,72265,0.5136169879245783
chaparder,108370,53867,0.567183922715416
effrayerais,132600,60973,0.5127411749990473
louveteau,163383,71312,0.5208443141567038
rempailleur,194833,82359,0.5138794204354618
jacasse,159334,69651,0.5343582399822817
grossier,149545,66070,0.5150941763255613
hypocondriaques,152727,67362,0.5172124690324954
ventriloques,220114,90464,0.5162463581729205
emmitouflai,133326,61157,0.5168229061019639
débrouillai,125297,59332,0.5416253640137858
bégayant,104395,52319,0.5180205274115081
tamanoir,212297,87709,0.5185841177967148
irresponsable,159017,69510,0.5191554551188424
dégueulasses,127958,59934,0.5357804164477886
iguanodons,153441,67654,0.5244025980564773
soupirer,207514,85979,0.53529142869105
agacer,88680,46810,0.521545058622031
piranhas,181416,78223,0.5221591867725828
batifoleurs,99185,50409,0.5227186404574572
fatiguant,140806,63087,0.5445204178449982
hébétude,152898,67434,0.5238869094854439
couinement,117460,56741,0.5390227110631783
prédateur,186798,80023,0.5457920278842613
divagant,123200,58665,0.5379365129455533
anatidés,91250,47633,0.5264501343928426
chapardeur,108371,53869,0.6027953922373379
débrouilleurs,125325,59337,0.5276094938765432
fourber,143841,64054,0.5282829150276235
rancunier,190999,81514,0.5508490399020146
bigorneau,100099,50778,0.5294215476294679
gorille,148088,65551,0.5547554222767703
répugnants,201452,83934,0.5384837007940434
efféminés,132657,60991,0.5392563817046507
pachydermes,176515,76420,0.5564160928021862
engourdi,135339,61603,0.5323425157287708
apeurer,92561,48291,0.532929031033497
bavardai,99289,50439,0.5851826185301152
dégoûtai,127792,59898,0.5906411985835082
sarigue,203543,84563,0.5347521722937595
désoeuvrés,131101,60665,0.5353373158901805
maniais,165114,72016,0.5359217098931188
repaître,195809,82510,0.5364843610015582
clopeur,111269,54959,0.5370697850701711
studieux,208997,86591,0.5376403932614485
lapereaux,161385,70528,0.5382031206547786
kangourou,160528,70094,0.538770966773557
mâchoires,170831,74294,0.5393354952585925
recommandables,192537,81936,0.539916620067569
rustre,199532,83484,0.5964783392275924
brouteurs,103612,52037,0.5576444371734917
dégoûtants,127803,59899,0.5995161380461753
cautèle,107472,53541,0.5423014578517849
dévorateurs,132095,60869,0.5429106146206243
enjôleurs,135555,61645,0.5532641377474236
quadrumane,189164,80864,0.5440578346417362
coléreux,112304,55338,0.6160812846758754
moques,169342,73735,0.5453306173538559
voracité,221892,91104,0.5459261400613935
